epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46255,0.83262,0.6788,0.00407,0.85188,0.71186,0.76181,0.57479,1.1023,1.50573,0.00769,2.5e-05,2.5e-05,0.090025
2,7.80858,1.01452,0.62899,0.00488,0.82443,0.42373,0.46083,0.29359,1.50108,2.55549,0.01109,5.24935e-05,5.24935e-05,0.0790525
3,11.1336,0.91688,0.63034,0.00456,0.81943,0.62712,0.73273,0.57144,1.17015,1.24403,0.00925,7.99601e-05,7.99601e-05,0.06808
4,14.7947,0.84392,0.52501,0.00419,0.96291,0.44068,0.62558,0.46758,1.46271,1.26031,0.01199,0.000107379,0.000107379,0.0571074
5,18.3258,0.71898,0.49622,0.00358,0.82929,0.65876,0.77202,0.61613,1.01489,1.03107,0.00706,0.000134731,0.000134731,0.0461347
6,21.7834,0.66668,0.39382,0.0034,0.85581,0.80483,0.86961,0.6951,0.88584,1.07813,0.00637,0.000161994,0.000161994,0.035162
7,25.2918,0.68262,0.38051,0.00343,0.87257,0.86441,0.87449,0.73662,0.78833,0.81531,0.00562,0.000189149,0.000189149,0.0241891
8,29.0012,0.69406,0.45698,0.0033,0.88933,0.81723,0.85453,0.74417,0.75157,0.89214,0.0051,0.000216174,0.000216174,0.0132162
9,32.4806,0.66938,0.45586,0.00306,0.89338,0.88136,0.85838,0.74627,0.74245,0.76672,0.00502,0.000243051,0.000243051,0.00224305
10,35.963,0.62896,0.37002,0.00289,0.88033,0.87289,0.86588,0.74484,0.73446,0.73675,0.00485,0.000247485,0.000247485,0.000247485
11,39.493,0.60889,0.33538,0.00299,0.90897,0.84623,0.85667,0.74666,0.73789,0.6986,0.005,0.000246897,0.000246897,0.000246897
12,42.9871,0.6278,0.3128,0.00314,0.95603,0.83051,0.87389,0.73363,0.74998,0.76786,0.00524,0.000246249,0.000246249,0.000246249
13,46.1886,0.6344,0.35566,0.00288,0.96219,0.86275,0.87473,0.75241,0.74106,0.75399,0.00482,0.00024554,0.00024554,0.00024554
14,49.4187,0.60373,0.32614,0.00295,0.92262,0.80845,0.86354,0.73884,0.74966,0.77587,0.0049,0.000244772,0.000244772,0.000244772
